Statistic,Original column,After removal
Total rows,4349,827
Valid N,827,827
Missing,3522,0
Missing percentage,80.98,0
Mean,3.28,3.28
Median,0,0
Minimum,0,0
Maximum,417,417
Range,417,417
Variance,455.04,455.04
Standard deviation,21.33,21.33
Q1,0,0
Q3,0,0
IQR,0,0
Skewness,12.23,12.23
