,DEPARTURE_DELAY,TAXI_OUT,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,TAXI_IN,ARRIVAL_DELAY,AIR_SYSTEM_DELAY,SECURITY_DELAY,WEATHER_DELAY
DEPARTURE_DELAY,1.0,0.02901638564738532,0.11318368055489728,0.11471512406651839,0.1147594947398532,0.11934930015898268,-0.04184541275220419,0.6661745638775839,-0.4029131251304349,-0.03514976552086545,0.07129361005422283
TAXI_OUT,0.02901638564738532,1.0,0.1489533776877995,0.2301437687872972,0.10334202371213753,0.09065493303157099,0.05170545681375618,0.2369133295641456,0.5186732652941382,-0.003183808597381172,0.10920562549484102
SCHEDULED_TIME,0.11318368055489728,0.1489533776877995,1.0,0.9763818812860615,0.9840505040199901,0.9820114628287674,0.17543135104236643,-0.06416244910961172,0.058265326751548434,-0.06227230537307097,0.04782815995096114
ELAPSED_TIME,0.11471512406651839,0.2301437687872972,0.9763818812860615,1.0,0.9812273795015879,0.9645175312732971,0.2159870390064954,0.04781013306663559,0.2943468013036152,-0.05442807152346042,0.05982005582235995
AIR_TIME,0.1147594947398532,0.10334202371213753,0.9840505040199901,0.9812273795015879,1.0,0.9858185341408064,0.14415738097958658,-0.007416429756067787,0.12123034917500315,-0.06710696250888984,0.03508324669772812
DISTANCE,0.11934930015898268,0.09065493303157099,0.9820114628287674,0.9645175312732971,0.9858185341408064,1.0,0.12959737306099905,-0.0430296650332457,0.028204949098989556,-0.06388237762351051,0.03010600548034895
TAXI_IN,-0.04184541275220419,0.05170545681375618,0.17543135104236643,0.2159870390064954,0.14415738097958658,0.12959737306099905,1.0,0.0754080121063632,0.28339841067103266,0.025471519670304747,0.013480759044669707
ARRIVAL_DELAY,0.6661745638775839,0.2369133295641456,-0.06416244910961172,0.04781013306663559,-0.007416429756067787,-0.0430296650332457,0.0754080121063632,1.0,-0.013490305468070129,-0.024837494178666094,0.117637866274578
AIR_SYSTEM_DELAY,-0.4029131251304349,0.5186732652941382,0.058265326751548434,0.2943468013036152,0.12123034917500315,0.028204949098989556,0.28339841067103266,-0.013490305468070129,1.0,0.006158100274684455,0.0504903806671465
SECURITY_DELAY,-0.03514976552086545,-0.003183808597381172,-0.06227230537307097,-0.05442807152346042,-0.06710696250888984,-0.06388237762351051,0.025471519670304747,-0.024837494178666094,0.006158100274684455,1.0,-0.01767347095698334
WEATHER_DELAY,0.07129361005422283,0.10920562549484102,0.04782815995096114,0.05982005582235995,0.03508324669772812,0.03010600548034895,0.013480759044669707,0.117637866274578,0.0504903806671465,-0.01767347095698334,1.0
