Category,Frequency,Percentage
TX,552,12.69
CA,511,11.75
IL,358,8.23
GA,340,7.82
FL,292,6.71
CO,196,4.51
NY,179,4.12
AZ,150,3.45
NV,138,3.17
MI,132,3.04
Others,1501,34.51
