Category,Frequency,Percentage
Southwest Airlines Co.,1207,27.75
Delta Air Lines Inc.,839,19.29
American Airlines Inc.,733,16.85
Skywest Airlines Inc.,569,13.08
Atlantic Southeast Airlines,521,11.98
United Air Lines Inc.,480,11.04
