Comparison,N,Pearson,Spearman,SciPy Pearson,SciPy Spearman
DEPARTURE_DELAY vs ARRIVAL_DELAY removal,4265,0.9499482233036028,0.6661745638775839,0.9499482233036013,0.666174563877584
DEPARTURE_DELAY vs ARRIVAL_DELAY median imputation,4349,0.9457936545019363,0.662735150199266,0.9457936545019403,0.662735150199266
DISTANCE vs AIR_TIME removal,4265,0.984098373631582,0.9858185341408064,0.9840983736315808,0.9858185341408066
DISTANCE vs AIR_TIME median imputation,4349,0.9745057254986449,0.9763241139194703,0.9745057254986454,0.9763241139194703
