k,Inertia,Silhouette,Cluster Sizes
2,11394.839384876119,0.5288020176862436,"[3327, 938]"
3,6835.92079004651,0.5531344172717622,"[234, 840, 3191]"
4,5348.754391780666,0.5582190133559005,"[827, 3129, 294, 15]"
5,3979.5354296011174,0.44889419310706724,"[447, 2237, 15, 282, 1284]"
6,3330.781321317084,0.46077373788560755,"[2114, 121, 11, 1214, 359, 446]"
7,2849.365507566028,0.4240100479977286,"[343, 232, 1897, 121, 489, 11, 1172]"
8,2433.3990762653975,0.42197431591712253,"[1165, 241, 131, 1867, 13, 346, 500, 2]"
