Category,Frequency,Percentage
TX,577,13.27
CA,565,12.99
GA,365,8.39
FL,305,7.01
IL,288,6.62
CO,179,4.12
NY,143,3.29
AZ,135,3.1
MI,124,2.85
NV,124,2.85
Others,1544,35.5
