Cluster Name,N,Percentage,DISTANCE Centre,AIR_TIME Centre,DEPARTURE_DELAY Centre,ARRIVAL_DELAY Centre
"Shorter-route, low-delay cluster",3129,73.36,565.7402555910543,82.58146964856229,1.8932907348242765,-3.1440894568690103
"Longer-route, low-delay cluster",827,19.39,1762.2067714631194,224.4848851269649,5.2224909310761785,-2.9455864570737598
High-delay cluster,294,6.89,743.7508532423208,105.01023890784982,100.94539249146759,100.0853242320819
Extreme-delay cluster,15,0.35,833.1333333333333,118.6,398.6,401.8666666666667
